location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Aiken, SC",South Carolina,130.75,12,'existing paid','new car',1295,99.76,<1,3,'female div/dep/mar',none,?,car,?,?,rent,1,skilled,1,none,yes,Bad,?,05/17/1994,yes
"Anderson, SC",South Carolina,-1950.83,48,'existing paid',business,4308,69.51,<1,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,?,skilled,?,none,Unknown,good,?,05/18/1994,Unknown
"Anderson, SC",South Carolina,15.12,12,'existing paid',radio/tv,1567,89.2,?,1,'female div/dep/mar',none,1,car,22,none,own,1,skilled,1,yes,Unknown,Bad,?,05/19/1994,Unknown
"Charleston, SC",South Carolina,0,24,'critical/other existing credit','new car',1199,0,>=7,4,'male single',none,?,car,60,none,own,2,'unskilled resident',1,none,no,Good,?,05/20/1994,no
"Charleston, SC",South Carolina,-6002.72,15,'existing paid','new car',1403,42.11,1<=X<4,2,?,none,4,car,?,none,rent,?,skilled,1,none,yes,Good,?,05/21/1994,yes
"Chester, SC",South Carolina,-787.62,24,'existing paid',radio/tv,1282,247,?,4,'female div/dep/mar',none,?,car,32,none,own,1,'unskilled resident',1,none,Unknown,Good,?,05/22/1994,Unknown
"Chester, SC",South Carolina,0,?,'critical/other existing credit',radio/tv,2424,0,?,4,'male single',none,4,'life insurance',?,none,own,2,skilled,1,none,yes,Good,?,05/23/1994,yes
"Dillon, SC",South Carolina,-9440.86,30,'no credits/all paid',business,8072,0,<1,?,'male single',none,3,car,25,bank,own,3,skilled,1,none,yes,bad,?,05/24/1994,yes
"Dillon, SC",South Carolina,64.89,24,'existing paid','used car',?,2.66,>=7,4,'female div/dep/mar',none,2,'no known property',?,none,'for free',?,'high qualif/self emp/mgmt',?,yes,Unknown,Bad,?,05/25/1994,Unknown
"Florence, SC",South Carolina,0,24,?,radio/tv,3430,0,>=7,3,'male single',?,2,car,31,none,own,1,skilled,?,yes,yes,bad,?,05/26/1994,yes
"Greenville, SC",South Carolina,0,?,'critical/other existing credit','new car',2134,0,1<=X<4,4,'male single',none,4,car,48,none,own,3,skilled,1,yes,yes,Good,?,05/27/1994,yes
"Greenwood, SC",South Carolina,-864.51,6,'existing paid',radio/tv,2647,742.31,1<=X<4,2,'male single',none,3,'real estate',44,none,rent,1,skilled,2,none,yes,Good,?,05/28/1994,yes
"Horry, SC",South Carolina,-5730.5,10,'critical/other existing credit','new car',2241,41.19,?,1,'male single',?,3,'real estate',48,none,rent,2,?,2,none,Unknown,Bad,?,05/29/1994,Unknown
"Jasper, SC",South Carolina,104.66,12,'critical/other existing credit','used car',1804,438.95,<1,3,'male single',none,4,?,44,none,own,1,skilled,1,?,Unknown,Good,?,05/30/1994,Unknown
"Lexington, SC",South Carolina,0,10,'critical/other existing credit',?,2069,0,1<=X<4,2,'male mar/wid',none,1,car,26,none,own,2,skilled,1,none,yes,Bad,?,05/31/1994,yes
"Orangeburg, SC",South Carolina,0,6,'existing paid',furniture/equipment,?,0,1<=X<4,1,'male single',none,?,'real estate',36,bank,own,1,'unskilled resident',1,yes,no,good,?,06/01/1994,no
"Richland, SC",South Carolina,0,6,'no credits/all paid',radio/tv,426,0,?,?,'male mar/wid',none,4,car,39,none,own,1,'unskilled resident',1,none,no,Good,?,06/02/1994,no
"Richland, SC",South Carolina,2577.11,12,'all paid',radio/tv,409,2599.63,1<=X<4,3,'female div/dep/mar',none,?,'real estate',42,none,rent,2,?,?,none,no,Good,?,06/03/1994,no
"Spartanburg, SC",South Carolina,184.53,7,'existing paid',radio/tv,2415,67.24,1<=X<4,?,'male single',guarantor,2,'real estate',34,none,own,?,?,1,none,no,Good,?,06/04/1994,no
"Spartanburg, SC",South Carolina,-3479,60,'delayed previously',business,6836,26.85,>=7,?,'male single',none,4,'no known property',63,?,own,2,skilled,1,yes,yes,Good,?,06/05/1994,yes
"Union, SC",South Carolina,0,18,'existing paid',business,1913,0,?,3,'male mar/wid',?,3,'real estate',36,bank,own,1,skilled,1,yes,no,Good,?,06/06/1994,no
"Williamsburg, SC",South Carolina,-5072.05,24,'existing paid',furniture/equipment,4020,12.54,?,2,'male single',none,2,car,27,stores,own,1,skilled,1,none,Unknown,Good,?,06/07/1994,Unknown
"York, SC",South Carolina,65.97,18,'existing paid','new car',5866,265.12,1<=X<4,2,'male single',none,2,car,?,none,own,2,skilled,1,yes,no,Bad,?,06/08/1994,no
"Minnehaha, SD",South Dakota,0,12,'critical/other existing credit',business,1264,0,?,4,'male single',none,4,?,57,none,rent,1,'unskilled resident',1,?,yes,bad,?,06/09/1994,yes
"Hughes, SD",South Dakota,978.69,12,'existing paid',furniture/equipment,?,41.34,<1,4,'female div/dep/mar',none,1,'life insurance',33,bank,?,1,'high qualif/self emp/mgmt',1,?,yes,good,yes,06/10/1994,yes
"Bradley, TN",Tennessee,163,45,'critical/other existing credit',radio/tv,4746,0,<1,4,'male single',none,2,'life insurance',25,none,own,2,?,1,none,no,Good,?,06/11/1994,no
"Bradley, TN",Tennessee,0,48,'critical/other existing credit',education,6110,0,1<=X<4,1,'male single',none,3,'no known property',31,bank,'for free',1,skilled,1,?,yes,Good,?,06/12/1994,yes
"Davidson, TN",Tennessee,6976.08,18,'existing paid',radio/tv,2100,4.69,?,4,'male single','co applicant',2,'real estate',37,stores,own,1,skilled,1,none,yes,bad,?,06/13/1994,yes
"Fentress, TN",Tennessee,5588.7,10,'existing paid','domestic appliance',1225,0,1<=X<4,2,'male single',none,?,car,37,none,own,1,skilled,1,yes,yes,Good,?,06/14/1994,yes
"Hamilton, TN",Tennessee,47.76,9,'existing paid',radio/tv,458,0,1<=X<4,4,'male single',none,3,'real estate',24,none,own,?,skilled,1,none,no,good,?,06/15/1994,no
"Haywood, TN",Tennessee,0,30,'existing paid',radio/tv,2333,0,?,4,'male single',none,2,car,30,bank,own,?,'high qualif/self emp/mgmt',?,none,no,Good,?,06/16/1994,no
"Knox, TN",Tennessee,150.32,?,'existing paid',radio/tv,1158,0,1<=X<4,3,'male div/sep',none,1,car,26,none,own,?,skilled,1,yes,no,bad,?,06/17/1994,no
"McNairy, TN",Tennessee,158.94,18,'delayed previously',repairs,6204,24.41,1<=X<4,2,'male single',none,4,'real estate',44,none,own,1,'unskilled resident',2,?,yes,Good,?,06/18/1994,yes
"Madison, TN",Tennessee,-913.07,30,?,'used car',6187,224.1,4<=X<7,1,'male mar/wid',none,?,car,24,none,rent,2,skilled,1,none,yes,Bad,?,06/19/1994,yes
"Robertson, TN",Tennessee,-8599.14,48,'critical/other existing credit','used car',6143,14.18,>=7,4,'female div/dep/mar',none,4,'no known property',58,stores,'for free',2,'unskilled resident',1,none,yes,bad,?,06/20/1994,yes
"Sevier, TN",Tennessee,0,11,?,'new car',1393,0,<1,4,'female div/dep/mar',none,4,car,35,none,own,2,'high qualif/self emp/mgmt',1,none,no,Good,?,06/21/1994,no
"Shelby, TN",Tennessee,0,36,?,radio/tv,?,0,>=7,4,'male single',none,4,car,39,none,own,1,skilled,1,none,Unknown,good,?,06/22/1994,Unknown
"Shelby, TN",Tennessee,-1631.58,6,'existing paid','used car',?,0,unemployed,1,'female div/dep/mar',none,2,?,23,none,rent,1,'unemp/unskilled non res',1,yes,yes,Bad,?,06/23/1994,yes
"Bastrop, TX",Texas,0,11,'critical/other existing credit','new car',7228,0,1<=X<4,1,'male single',none,4,'life insurance',39,none,?,2,'unskilled resident',1,none,no,good,?,06/24/1994,no
"Bell, TX",Texas,0,12,?,radio/tv,2073,0,?,4,'female div/dep/mar','co applicant',2,'real estate',28,none,own,1,skilled,?,none,no,good,?,06/25/1994,no
"Bexar, TX",Texas,166.03,24,'delayed previously',furniture/equipment,2333,0,<1,4,'male single',none,2,?,29,bank,own,1,'unskilled resident',1,none,yes,good,?,06/26/1994,yes
"Bexar, TX",Texas,180.59,27,?,'used car',5965,42.7,>=7,1,'male single',none,2,car,30,none,own,?,'high qualif/self emp/mgmt',1,yes,no,bad,?,06/27/1994,no
"Brown, TX",Texas,0,12,'existing paid',radio/tv,1262,0,1<=X<4,3,'male single',none,2,car,25,none,own,1,skilled,1,none,no,Good,?,06/28/1994,no
"Cass, TX",Texas,0,?,'existing paid','used car',3378,0,1<=X<4,2,'male single',none,1,?,31,none,own,1,skilled,?,yes,no,Good,?,06/29/1994,no
"Collin, TX",Texas,127.36,36,'delayed previously','new car',2225,41.6,>=7,4,'male single',none,4,'no known property',57,bank,'for free',2,skilled,1,?,yes,good,?,06/30/1994,yes
"Dallas, TX",Texas,0,6,'all paid','new car',783,0,?,1,'male single',guarantor,2,'real estate',26,?,own,1,'unskilled resident',2,none,Unknown,good,?,07/01/1994,Unknown
"Dallas, TX",Texas,114.16,12,'existing paid',radio/tv,6468,0,unemployed,2,?,none,1,'no known property',52,none,own,1,'high qualif/self emp/mgmt',1,yes,no,good,?,07/02/1994,no
"Fort Worth, TX",Texas,0,36,'critical/other existing credit',radio/tv,9566,0,1<=X<4,2,'female div/dep/mar',?,2,car,31,?,own,2,?,1,none,no,Bad,?,07/03/1994,no
"Dallas, TX",Texas,3235.45,18,?,'new car',1961,65.36,?,3,'female div/dep/mar',none,2,car,23,none,own,1,'high qualif/self emp/mgmt',1,none,yes,Good,?,07/04/1994,yes
"Houston, TX",Texas,-9972.01,36,'critical/other existing credit',furniture/equipment,6229,35.8,<1,?,'female div/dep/mar','co applicant',4,'no known property',23,none,rent,2,'unskilled resident',1,?,yes,Good,?,07/05/1994,yes
"Denton, TX",Texas,75.44,9,'existing paid',business,1391,65.13,1<=X<4,2,'male mar/wid',?,1,'real estate',?,bank,own,1,skilled,1,yes,Unknown,Good,?,07/06/1994,Unknown
"El Paso, TX",Texas,158.6,15,'critical/other existing credit',radio/tv,1537,0,>=7,4,'male single',guarantor,4,'real estate',50,none,own,2,skilled,1,yes,yes,bad,?,07/07/1994,yes
"El Paso, TX",Texas,163.79,36,'no credits/all paid',business,1953,78.33,>=7,4,'male single',none,4,'no known property',61,none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,Good,?,07/08/1994,no
"Galveston, TX",Texas,139.83,48,'no credits/all paid',business,14421,25.59,1<=X<4,2,'male single',none,2,car,25,none,own,1,skilled,?,yes,no,Good,?,07/09/1994,no
"Gregg, TX",Texas,0,?,'existing paid',radio/tv,3181,0,<1,?,'female div/dep/mar',none,?,'life insurance',26,none,own,1,skilled,?,yes,no,Good,?,07/10/1994,no
"Harris, TX",Texas,0,27,'existing paid',repairs,5190,0,>=7,4,'male single',none,4,'life insurance',48,none,own,4,skilled,2,yes,yes,Bad,?,07/11/1994,yes
"Harrison, TX",Texas,0,12,'existing paid',radio/tv,2171,0,?,2,'female div/dep/mar',?,2,car,29,bank,own,1,skilled,1,none,no,bad,?,07/12/1994,no
"Hidalgo, TX",Texas,59.47,12,'existing paid','new car',1007,0,1<=X<4,4,'male mar/wid',?,1,'real estate',?,none,own,1,skilled,1,none,yes,bad,?,07/13/1994,yes
"Hidalgo, TX",Texas,0,36,'existing paid',?,1819,0,1<=X<4,4,'male single',none,4,'no known property',?,stores,'for free',?,?,1,yes,yes,Good,?,07/14/1994,yes
"Hopkins, TX",Texas,0,36,'existing paid',radio/tv,2394,0,1<=X<4,4,'female div/dep/mar',none,4,car,25,none,own,1,skilled,1,none,yes,bad,?,07/15/1994,yes
"Hunt, TX",Texas,0,?,'existing paid','used car',8133,0,?,?,'female div/dep/mar',none,2,'life insurance',30,?,own,1,skilled,1,?,no,Bad,?,07/16/1994,no
"Hunt, TX",Texas,0,7,'critical/other existing credit',radio/tv,730,0,>=7,4,'male single',none,2,'life insurance',?,none,rent,2,'unskilled resident',1,yes,no,Good,?,07/17/1994,no
"Jasper, TX",Texas,0,8,'critical/other existing credit',other,1164,0,>=7,3,'male single',none,?,'no known property',51,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,Good,?,07/18/1994,yes
"Jefferson, TX",Texas,0,42,?,business,5954,0,4<=X<7,2,'female div/dep/mar',none,1,'real estate',41,bank,own,2,'unskilled resident',1,none,yes,bad,?,07/19/1994,yes
"McLennan, TX",Texas,-220.84,36,'existing paid',education,1977,0,>=7,4,'male single',none,4,'no known property',40,none,?,?,'high qualif/self emp/mgmt',1,yes,yes,Bad,?,07/20/1994,yes
"Medina, TX",Texas,-6131.59,12,'critical/other existing credit','used car',1526,53.54,>=7,4,'male single',none,4,'no known property',66,none,'for free',2,'high qualif/self emp/mgmt',1,none,no,Good,?,07/21/1994,no
"Midland, TX",Texas,0,42,'existing paid',?,?,0,<1,?,'male single',none,?,car,34,none,?,1,skilled,1,none,yes,Bad,?,07/22/1994,yes
"Montague, TX",Texas,160.21,11,'delayed previously',radio/tv,4771,0,4<=X<7,2,'male single',none,4,'life insurance',51,none,own,1,skilled,1,none,yes,Bad,?,07/23/1994,yes
"Nueces, TX",Texas,0,54,'no credits/all paid',?,9436,0,1<=X<4,2,'male single',none,2,'life insurance',39,none,own,1,'unskilled resident',?,none,yes,Good,?,07/24/1994,yes
"Potter, TX",Texas,161.2,30,'existing paid',furniture/equipment,3832,8.69,<1,?,'male mar/wid',?,1,'life insurance',22,none,own,1,?,1,?,yes,Good,?,07/25/1994,yes
"Sabine, TX",Texas,0,24,'existing paid',radio/tv,?,0,<1,1,'female div/dep/mar',none,?,car,44,?,own,2,skilled,1,yes,no,good,?,07/26/1994,no
"Tarrant, TX",Texas,0,15,'existing paid',radio/tv,1213,0,?,4,'male single',none,3,'life insurance',47,stores,?,1,skilled,1,yes,yes,Good,?,07/27/1994,yes
"Tarrant, TX",Texas,0,18,'existing paid',business,?,0,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,'unskilled resident',1,none,no,bad,?,07/28/1994,no
"Taylor, TX",Texas,-5878.49,24,'existing paid',other,1755,98.16,>=7,?,'female div/dep/mar',guarantor,4,'real estate',58,none,own,1,?,1,?,yes,Good,?,07/29/1994,yes
"Travis, TX",Texas,-1789.61,10,'existing paid',radio/tv,2315,32.77,>=7,3,'male single',?,4,'real estate',52,none,own,1,'unskilled resident',1,none,no,Good,?,07/30/1994,no
"Wharton, TX",Texas,0,12,'critical/other existing credit',business,1412,0,1<=X<4,?,'female div/dep/mar',guarantor,2,'real estate',29,none,own,2,'high qualif/self emp/mgmt',1,?,yes,Good,?,07/31/1994,yes
"Williamson, TX",Texas,85.74,18,'critical/other existing credit',?,1295,0,?,4,'female div/dep/mar',none,1,?,27,none,own,2,skilled,1,none,yes,Good,?,08/01/1994,yes
"Williamson, TX",Texas,138.23,36,'existing paid',education,12612,438.24,?,?,'male single',none,4,'no known property',47,none,'for free',1,skilled,2,yes,no,good,?,08/02/1994,no
"Wood, TX",Texas,0,18,'existing paid','new car',2249,0,4<=X<7,4,'male single',none,3,?,30,none,own,1,'high qualif/self emp/mgmt',2,yes,no,good,?,08/03/1994,no
"Dallas, TX",Texas,-9244.18,12,'no credits/all paid',repairs,1108,5.74,4<=X<7,4,'male single',none,3,'real estate',28,none,own,2,skilled,1,none,no,Good,?,08/04/1994,no
"Harris, TX",Texas,0,12,'critical/other existing credit',radio/tv,618,0,>=7,4,'male single',none,4,?,56,none,own,1,skilled,1,none,no,Bad,?,08/05/1994,no
"Bexar, TX",Texas,-677.41,12,?,'used car',1409,1.66,>=7,4,'male single',none,3,'real estate',?,none,own,1,skilled,1,none,no,good,?,08/06/1994,no
"Salt Lake, UT",Utah,0,12,'critical/other existing credit',radio/tv,797,0,>=7,4,'female div/dep/mar',none,3,'life insurance',33,bank,own,1,'unskilled resident',2,none,yes,Good,?,08/07/1994,yes
"Salt Lake, UT",Utah,0,24,'critical/other existing credit',furniture/equipment,3617,0,>=7,4,'male single',?,4,'no known property',20,none,rent,2,skilled,1,none,yes,Bad,?,08/08/1994,yes
"Accomack, VA",Virginia,45.54,12,'existing paid','new car',1318,5987.51,>=7,4,'male single',none,4,'real estate',54,none,own,1,skilled,1,yes,no,Bad,?,08/09/1994,no
"Buckingham, VA",Virginia,163.33,54,'no credits/all paid',business,?,89.6,<1,3,'male single',none,4,'no known property',58,none,?,1,skilled,1,yes,yes,good,?,08/10/1994,yes
"Buckingham, VA",Virginia,0,12,'critical/other existing credit',education,2012,0,4<=X<7,4,'female div/dep/mar',none,2,car,61,none,own,1,skilled,1,none,no,good,?,08/11/1994,no
"Culpeper, VA",Virginia,4.36,18,'existing paid',business,2622,167.17,1<=X<4,4,'male single',none,4,car,34,none,own,1,skilled,1,none,yes,good,?,08/12/1994,yes
"Essex, VA",Virginia,0.83,36,'critical/other existing credit',radio/tv,?,36.75,>=7,4,'male single',none,4,'real estate',36,none,own,1,skilled,?,none,no,Good,?,08/13/1994,no
"Frederick, VA",Virginia,62.41,20,'delayed previously','used car',7057,0,4<=X<7,?,'male single',none,4,'life insurance',?,bank,rent,2,'high qualif/self emp/mgmt',2,yes,Unknown,Good,?,08/14/1994,Unknown
"James City, VA",Virginia,0,24,'existing paid','new car',1469,0,>=7,4,'male mar/wid',none,?,'real estate',41,none,rent,1,'unskilled resident',1,none,Unknown,Bad,?,08/15/1994,Unknown
"Middlesex, VA",Virginia,194.24,36,'existing paid',radio/tv,2323,0,4<=X<7,4,'male single',none,4,car,24,none,rent,1,skilled,1,none,yes,bad,?,08/16/1994,yes
"Middlesex, VA",Virginia,0,6,?,radio/tv,932,0,1<=X<4,3,'female div/dep/mar',none,?,?,24,none,?,1,skilled,1,none,yes,good,?,08/17/1994,yes
"Patrick, VA",Virginia,72.61,9,'critical/other existing credit',furniture/equipment,1919,0,4<=X<7,4,'male single',?,3,car,35,none,?,1,?,1,yes,yes,Good,?,08/18/1994,yes
"Pittsylvania, VA",Virginia,0,12,'existing paid','used car',2445,0,<1,2,'male mar/wid',none,4,car,26,none,rent,1,skilled,1,yes,no,Good,?,08/19/1994,no
"Prince William, VA",Virginia,150.24,?,'critical/other existing credit',other,11938,20.15,1<=X<4,2,'male single','co applicant',3,car,39,?,own,2,'high qualif/self emp/mgmt',2,yes,yes,bad,?,08/20/1994,yes
"Russell, VA",Virginia,0,18,'all paid','new car',6458,0,>=7,2,'male single',none,4,'no known property',39,bank,own,2,'high qualif/self emp/mgmt',?,yes,no,good,?,08/21/1994,no
"Tazewell, VA",Virginia,129.98,12,'existing paid','new car',6078,50.34,4<=X<7,2,'male single',none,2,car,32,none,?,1,skilled,1,none,no,Good,?,08/22/1994,no
?,Virginia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unknown,Good,?,08/23/1994,Unknown
"Danville, VA",Virginia,-757.72,?,'existing paid',furniture/equipment,7721,0,<1,1,'female div/dep/mar',none,2,'life insurance',30,none,own,1,skilled,1,yes,no,Good,?,08/24/1994,no
"Lynchburg, VA",Virginia,55.89,?,'existing paid',business,1410,549.75,>=7,1,'male mar/wid',?,2,'real estate',35,none,own,1,skilled,1,yes,yes,Good,?,08/25/1994,yes
"Newport News, VA",Virginia,80.35,6,'delayed previously',?,1449,265.76,>=7,1,?,none,2,car,31,bank,own,2,skilled,?,none,no,Good,?,08/26/1994,no
"Norfolk, VA",Virginia,0,?,'existing paid',education,392,0,<1,?,'female div/dep/mar',none,?,'life insurance',23,none,?,1,skilled,1,yes,yes,Good,?,08/27/1994,yes
"Norfolk, VA",Virginia,80.71,18,'existing paid','new car',6260,68.22,4<=X<7,?,'male single',none,3,?,28,none,rent,1,'unskilled resident',1,none,no,Bad,?,08/28/1994,no
"Portsmouth, VA",Virginia,0,36,'critical/other existing credit','new car',7855,0,1<=X<4,4,'female div/dep/mar',none,2,'real estate',25,stores,own,?,skilled,1,yes,yes,Good,?,08/29/1994,yes
"Richmond, VA",Virginia,0,12,'existing paid',radio/tv,?,0,>=7,3,'male mar/wid',none,1,'real estate',35,none,own,1,skilled,1,none,no,Bad,?,08/30/1994,no
"Virginia Beach, VA",Virginia,0,48,?,radio/tv,?,0,>=7,4,'male single',none,1,'real estate',47,none,own,1,skilled,1,yes,no,Good,?,08/31/1994,no
"Orleans, VT",Vermont,-7890.14,?,'existing paid',radio/tv,7174,0,4<=X<7,4,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,no,Good,?,09/01/1994,no
"Orleans, VT",Vermont,-308.12,10,'critical/other existing credit',furniture/equipment,2132,0,?,2,'female div/dep/mar','co applicant',3,'real estate',?,none,rent,2,skilled,1,?,no,Good,?,09/02/1994,no
"Asotin, WA",Washington,-6207.62,33,'critical/other existing credit',furniture/equipment,4281,777.08,?,1,'female div/dep/mar',none,4,car,23,none,own,2,skilled,1,?,no,Good,?,09/03/1994,no
"Benton, WA",Washington,180.83,12,?,'new car',2366,804.96,4<=X<7,3,'male div/sep',none,3,car,36,none,own,1,'high qualif/self emp/mgmt',1,yes,Unknown,Good,?,09/04/1994,Unknown
"Clark, WA",Washington,-4317.01,21,'existing paid',radio/tv,1835,6.23,1<=X<4,3,'female div/dep/mar',none,2,'real estate',25,none,own,2,skilled,1,yes,yes,Good,?,09/05/1994,yes
"Franklin, WA",Washington,0,24,'critical/other existing credit','used car',?,0,?,4,?,none,?,car,41,none,rent,2,'high qualif/self emp/mgmt',?,yes,no,Good,?,09/06/1994,no
"King, WA",Washington,0,?,?,furniture/equipment,1768,0,1<=X<4,?,'male single',none,2,'real estate',24,none,rent,?,'unskilled resident',?,none,yes,bad,?,09/07/1994,yes
"King, WA",Washington,4115.41,10,'critical/other existing credit','new car',781,68.49,?,?,'male single',?,4,'no known property',63,none,'for free',2,skilled,1,yes,yes,good,?,09/08/1994,yes
"King, WA",Washington,69.75,18,'existing paid',furniture/equipment,1924,0,?,4,'female div/dep/mar',none,3,'real estate',?,?,rent,1,?,1,none,no,good,?,09/09/1994,no
"Kitsap, WA",Washington,-8633.29,12,'critical/other existing credit','new car',2121,28.28,1<=X<4,4,'male single',?,2,'life insurance',30,none,own,2,skilled,1,none,Unknown,Bad,?,09/10/1994,Unknown
"Pierce, WA",Washington,-7111.18,12,?,radio/tv,?,1.11,1<=X<4,4,'male mar/wid',none,2,'real estate',40,none,own,1,'unskilled resident',1,none,yes,Good,?,09/11/1994,yes
"Skagit, WA",Washington,150.56,12,'existing paid',repairs,?,33.47,1<=X<4,?,'male single',none,2,car,30,none,own,1,skilled,1,none,no,Bad,?,09/12/1994,no
"Snohomish, WA",Washington,163.65,12,'critical/other existing credit','used car',1860,21.86,unemployed,4,'male single',?,2,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,?,09/13/1994,yes
"Spokane, WA",Washington,-9688.11,12,'critical/other existing credit','new car',?,0,1<=X<4,3,'female div/dep/mar','co applicant',2,'real estate',29,none,own,2,?,1,none,yes,Good,?,09/14/1994,yes
"Spokane, WA",Washington,161.19,48,'existing paid','new car',8487,0,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,own,1,skilled,1,none,no,Bad,?,09/15/1994,no
"Spokane, WA",Washington,-4083,36,'delayed previously',education,6887,11.36,1<=X<4,4,'male single',none,3,'life insurance',29,stores,own,1,skilled,1,yes,Unknown,Bad,?,09/16/1994,Unknown
"Stevens, WA",Washington,0,15,'existing paid',furniture/equipment,?,0,<1,2,'male single',none,3,'life insurance',27,bank,own,2,'unskilled resident',1,none,no,good,?,09/17/1994,no
"Whatcom, WA",Washington,0,?,'existing paid',furniture/equipment,1984,0,1<=X<4,4,'male single',none,4,'no known property',47,bank,'for free',2,skilled,1,none,yes,Bad,?,09/18/1994,yes
"Yakima, WA",Washington,0,?,'existing paid',radio/tv,?,0,4<=X<7,2,'female div/dep/mar',none,?,'real estate',21,none,own,1,skilled,1,?,yes,Bad,?,09/19/1994,yes
"Chippewa, WI",Wisconsin,0,12,'critical/other existing credit',?,1240,0,>=7,4,'female div/dep/mar',none,2,?,38,none,own,2,skilled,1,yes,yes,Bad,?,09/20/1994,yes
"Dunn, WI",Wisconsin,0,27,'delayed previously','used car',8613,0,1<=X<4,2,'male single',none,2,car,27,none,own,2,skilled,1,none,no,bad,?,09/21/1994,no
"Kenosha, WI",Wisconsin,0,?,?,radio/tv,766,0,1<=X<4,4,'male single',?,3,'real estate',?,none,own,1,'unskilled resident',1,none,no,Good,?,09/22/1994,no
"Racine, WI",Wisconsin,51.64,15,'critical/other existing credit',radio/tv,2728,0,4<=X<7,4,'male single',guarantor,2,'real estate',35,bank,own,3,skilled,1,yes,yes,good,?,09/23/1994,yes
"Rock, WI",Wisconsin,0,12,'existing paid',radio/tv,1881,0,?,2,'female div/dep/mar',none,2,car,44,none,rent,1,'unskilled resident',1,yes,no,Bad,?,09/24/1994,no
"Milwaukee, WI",Wisconsin,8525.7,6,'existing paid','new car',709,7265.64,<1,2,'male mar/wid',none,2,'real estate',27,none,own,1,'unemp/unskilled non res',1,none,yes,good,?,09/25/1994,yes
"Fayette, WV",West Virginia,3.49,36,'existing paid',radio/tv,?,57.17,<1,4,'female div/dep/mar',none,1,'no known property',?,none,own,1,'high qualif/self emp/mgmt',1,yes,no,bad,?,09/26/1994,no
"Kanawha, WV",West Virginia,-4570.85,?,'existing paid',?,3416,15.64,1<=X<4,?,'male single',?,2,car,27,none,own,1,'high qualif/self emp/mgmt',1,?,yes,Bad,?,09/27/1994,yes
"Kanawha, WV",West Virginia,-6400.81,?,'existing paid',furniture/equipment,2462,74.69,1<=X<4,2,'male single',none,2,?,?,none,own,1,?,1,none,no,good,?,09/28/1994,no
