@relation cleaned_credit-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1

@attribute checking_amt numeric
@attribute duration numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credit history','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,Unknown,'used car','new car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute savings numeric
@attribute employment {>=7,1<=X<4,4<=X<7,Unknown,unemployed,<1}
@attribute installment_commitment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid',Unknown}
@attribute other_parties {none,Unknown,guarantor,'co applicant'}
@attribute residence_since numeric
@attribute property_magnitude {'real estate',Other,'life insurance','no known property',car}
@attribute age numeric
@attribute other_payment_plans {none,Other,bank,stores}
@attribute housing {own,Other,'for free',rent}
@attribute existing_credits numeric
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt',Other,'unemp/unskilled non res'}
@attribute own_telephone {yes,none,no}
@attribute foreign_worker {no,yes,Unknown}
@attribute class {Bad,Good}

@data
-6131.59,12,'critical/other existing credit','used car',1526,53.54,>=7,4,'male single',none,4,'no known property',66,none,'for free',2,'high qualif/self emp/mgmt',none,no,Good
0,42,'existing paid',Unknown,3234,0,<1,0,'male single',none,0,car,34,none,Other,1,skilled,none,yes,Bad
160.21,11,'delayed previously',radio/tv,4771,0,4<=X<7,2,'male single',none,4,'life insurance',51,none,own,1,skilled,none,yes,Bad
0,54,'no credits/all paid',Unknown,9436,0,1<=X<4,2,'male single',none,2,'life insurance',39,none,own,1,'unskilled resident',none,yes,Good
161.2,30,'existing paid',furniture/equipment,3832,8.69,<1,0,'male mar/wid',Unknown,1,'life insurance',22,none,own,1,Other,no,yes,Good
0,24,'existing paid',radio/tv,3234,0,<1,1,'female div/dep/mar',none,0,car,44,Other,own,2,skilled,yes,no,Good
0,15,'existing paid',radio/tv,1213,0,Unknown,4,'male single',none,3,'life insurance',47,stores,Other,1,skilled,yes,yes,Good
0,18,'existing paid',business,3234,0,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,'unskilled resident',none,no,Bad
-5878.49,24,'existing paid',other,1755,98.16,>=7,0,'female div/dep/mar',guarantor,4,'real estate',58,none,own,1,Other,no,yes,Good
-1789.61,10,'existing paid',radio/tv,2315,32.77,>=7,3,'male single',Unknown,4,'real estate',52,none,own,1,'unskilled resident',none,no,Good
0,12,'critical/other existing credit',business,1412,0,1<=X<4,0,'female div/dep/mar',guarantor,2,'real estate',29,none,own,2,'high qualif/self emp/mgmt',no,yes,Good
85.74,18,'critical/other existing credit',Unknown,1295,0,Unknown,4,'female div/dep/mar',none,1,Other,27,none,own,2,skilled,none,yes,Good
138.23,36,'existing paid',education,12612,438.24,Unknown,0,'male single',none,4,'no known property',47,none,'for free',1,skilled,yes,no,Good
0,18,'existing paid','new car',2249,0,4<=X<7,4,'male single',none,3,Other,30,none,own,1,'high qualif/self emp/mgmt',yes,no,Good
-9244.18,12,'no credits/all paid',repairs,1108,5.74,4<=X<7,4,'male single',none,3,'real estate',28,none,own,2,skilled,none,no,Good
0,12,'critical/other existing credit',radio/tv,618,0,>=7,4,'male single',none,4,Other,56,none,own,1,skilled,none,no,Bad
-677.41,12,'no credit history','used car',1409,1.66,>=7,4,'male single',none,3,'real estate',31,none,own,1,skilled,none,no,Good
0,12,'critical/other existing credit',radio/tv,797,0,>=7,4,'female div/dep/mar',none,3,'life insurance',33,bank,own,1,'unskilled resident',none,yes,Good
0,24,'critical/other existing credit',furniture/equipment,3617,0,>=7,4,'male single',Unknown,4,'no known property',20,none,rent,2,skilled,none,yes,Bad
45.54,12,'existing paid','new car',1318,5987.51,>=7,4,'male single',none,4,'real estate',54,none,own,1,skilled,yes,no,Bad
163.33,54,'no credits/all paid',business,3234,89.6,<1,3,'male single',none,4,'no known property',58,none,Other,1,skilled,yes,yes,Good
0,12,'critical/other existing credit',education,2012,0,4<=X<7,4,'female div/dep/mar',none,2,car,61,none,own,1,skilled,none,no,Good
4.36,18,'existing paid',business,2622,167.17,1<=X<4,4,'male single',none,4,car,34,none,own,1,skilled,none,yes,Good
0.83,36,'critical/other existing credit',radio/tv,3234,36.75,>=7,4,'male single',none,4,'real estate',36,none,own,1,skilled,none,no,Good
62.41,20,'delayed previously','used car',7057,0,4<=X<7,0,'male single',none,4,'life insurance',31,bank,rent,2,'high qualif/self emp/mgmt',yes,Unknown,Good
0,24,'existing paid','new car',1469,0,>=7,4,'male mar/wid',none,0,'real estate',41,none,rent,1,'unskilled resident',none,Unknown,Bad
194.24,36,'existing paid',radio/tv,2323,0,4<=X<7,4,'male single',none,4,car,24,none,rent,1,skilled,none,yes,Bad
0,6,'no credit history',radio/tv,932,0,1<=X<4,3,'female div/dep/mar',none,0,Other,24,none,Other,1,skilled,none,yes,Good
72.61,9,'critical/other existing credit',furniture/equipment,1919,0,4<=X<7,4,'male single',Unknown,3,car,35,none,Other,1,Other,yes,yes,Good
0,12,'existing paid','used car',2445,0,<1,2,'male mar/wid',none,4,car,26,none,rent,1,skilled,yes,no,Good
150.24,20,'critical/other existing credit',other,11938,20.15,1<=X<4,2,'male single','co applicant',3,car,39,Other,own,2,'high qualif/self emp/mgmt',yes,yes,Bad
0,18,'all paid','new car',6458,0,>=7,2,'male single',none,4,'no known property',39,bank,own,2,'high qualif/self emp/mgmt',yes,no,Good
129.98,12,'existing paid','new car',6078,50.34,4<=X<7,2,'male single',none,2,car,31,none,Other,1,skilled,none,no,Good
0,20,'no credit history',Unknown,3234,0,Unknown,0,Unknown,Unknown,0,Other,31,Other,Other,0,Other,no,Unknown,Good
-757.72,20,'existing paid',furniture/equipment,7721,0,<1,1,'female div/dep/mar',none,2,'life insurance',30,none,own,1,skilled,yes,no,Good
55.89,20,'existing paid',business,1410,549.75,>=7,1,'male mar/wid',Unknown,2,'real estate',35,none,own,1,skilled,yes,yes,Good
80.35,6,'delayed previously',Unknown,1449,265.76,>=7,1,Unknown,none,2,car,31,bank,own,2,skilled,none,no,Good
0,20,'existing paid',education,392,0,<1,0,'female div/dep/mar',none,0,'life insurance',23,none,Other,1,skilled,yes,yes,Good
80.71,18,'existing paid','new car',6260,68.22,4<=X<7,0,'male single',none,3,Other,28,none,rent,1,'unskilled resident',none,no,Bad
0,36,'critical/other existing credit','new car',7855,0,1<=X<4,4,'female div/dep/mar',none,2,'real estate',25,stores,own,0,skilled,yes,yes,Good
0,12,'existing paid',radio/tv,3234,0,>=7,3,'male mar/wid',none,1,'real estate',35,none,own,1,skilled,none,no,Bad
0,48,'no credit history',radio/tv,3234,0,>=7,4,'male single',none,1,'real estate',47,none,own,1,skilled,yes,no,Good
-7890.14,20,'existing paid',radio/tv,7174,0,4<=X<7,4,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',yes,no,Good
-308.12,10,'critical/other existing credit',furniture/equipment,2132,0,Unknown,2,'female div/dep/mar','co applicant',3,'real estate',31,none,rent,2,skilled,no,no,Good
-6207.62,33,'critical/other existing credit',furniture/equipment,4281,777.08,Unknown,1,'female div/dep/mar',none,4,car,23,none,own,2,skilled,no,no,Good
180.83,12,'no credit history','new car',2366,804.96,4<=X<7,3,'male div/sep',none,3,car,36,none,own,1,'high qualif/self emp/mgmt',yes,Unknown,Good
-4317.01,21,'existing paid',radio/tv,1835,6.23,1<=X<4,3,'female div/dep/mar',none,2,'real estate',25,none,own,2,skilled,yes,yes,Good
0,24,'critical/other existing credit','used car',3234,0,Unknown,4,Unknown,none,0,car,41,none,rent,2,'high qualif/self emp/mgmt',yes,no,Good
0,20,'no credit history',furniture/equipment,1768,0,1<=X<4,0,'male single',none,2,'real estate',24,none,rent,0,'unskilled resident',none,yes,Bad
4115.41,10,'critical/other existing credit','new car',781,68.49,Unknown,0,'male single',Unknown,4,'no known property',63,none,'for free',2,skilled,yes,yes,Good
69.75,18,'existing paid',furniture/equipment,1924,0,Unknown,4,'female div/dep/mar',none,3,'real estate',31,Other,rent,1,Other,none,no,Good
-8633.29,12,'critical/other existing credit','new car',2121,28.28,1<=X<4,4,'male single',Unknown,2,'life insurance',30,none,own,2,skilled,none,Unknown,Bad
-7111.18,12,'no credit history',radio/tv,3234,1.11,1<=X<4,4,'male mar/wid',none,2,'real estate',40,none,own,1,'unskilled resident',none,yes,Good
150.56,12,'existing paid',repairs,3234,33.47,1<=X<4,0,'male single',none,2,car,30,none,own,1,skilled,none,no,Bad
163.65,12,'critical/other existing credit','used car',1860,21.86,unemployed,4,'male single',Unknown,2,car,34,none,own,2,'high qualif/self emp/mgmt',yes,yes,Bad
-9688.11,12,'critical/other existing credit','new car',3234,0,1<=X<4,3,'female div/dep/mar','co applicant',2,'real estate',29,none,own,2,Other,none,yes,Good
161.19,48,'existing paid','new car',8487,0,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,own,1,skilled,none,no,Bad
-4083,36,'delayed previously',education,6887,11.36,1<=X<4,4,'male single',none,3,'life insurance',29,stores,own,1,skilled,yes,Unknown,Bad
0,15,'existing paid',furniture/equipment,3234,0,<1,2,'male single',none,3,'life insurance',27,bank,own,2,'unskilled resident',none,no,Good
0,20,'existing paid',furniture/equipment,1984,0,1<=X<4,4,'male single',none,4,'no known property',47,bank,'for free',2,skilled,none,yes,Bad
0,20,'existing paid',radio/tv,3234,0,4<=X<7,2,'female div/dep/mar',none,0,'real estate',21,none,own,1,skilled,no,yes,Bad
0,12,'critical/other existing credit',Unknown,1240,0,>=7,4,'female div/dep/mar',none,2,Other,38,none,own,2,skilled,yes,yes,Bad
0,27,'delayed previously','used car',8613,0,1<=X<4,2,'male single',none,2,car,27,none,own,2,skilled,none,no,Bad
0,20,'no credit history',radio/tv,766,0,1<=X<4,4,'male single',Unknown,3,'real estate',31,none,own,1,'unskilled resident',none,no,Good
51.64,15,'critical/other existing credit',radio/tv,2728,0,4<=X<7,4,'male single',guarantor,2,'real estate',35,bank,own,3,skilled,yes,yes,Good
0,12,'existing paid',radio/tv,1881,0,Unknown,2,'female div/dep/mar',none,2,car,44,none,rent,1,'unskilled resident',yes,no,Bad
8525.7,6,'existing paid','new car',709,7265.64,<1,2,'male mar/wid',none,2,'real estate',27,none,own,1,'unemp/unskilled non res',none,yes,Good
3.49,36,'existing paid',radio/tv,3234,57.17,<1,4,'female div/dep/mar',none,1,'no known property',31,none,own,1,'high qualif/self emp/mgmt',yes,no,Bad
-4570.85,20,'existing paid',Unknown,3416,15.64,1<=X<4,0,'male single',Unknown,2,car,27,none,own,1,'high qualif/self emp/mgmt',no,yes,Bad
-6400.81,20,'existing paid',furniture/equipment,2462,74.69,1<=X<4,2,'male single',none,2,Other,31,none,own,1,Other,none,no,Good
0,21,'critical/other existing credit',furniture/equipment,2288,0,<1,4,'female div/dep/mar',none,4,'life insurance',23,none,own,1,skilled,yes,no,Good
46.06,48,'all paid',Unknown,3566,240.61,4<=X<7,0,'male single',none,2,car,30,none,Other,1,skilled,none,yes,Bad
-9858.79,6,'critical/other existing credit','new car',860,6.1,>=7,1,'female div/dep/mar',Unknown,4,'no known property',39,none,own,2,Other,yes,yes,Good
0,12,'critical/other existing credit','new car',682,0,4<=X<7,4,'female div/dep/mar',none,3,car,51,none,own,2,skilled,yes,no,Good
0,36,'critical/other existing credit',furniture/equipment,5371,0,1<=X<4,3,'male single',Unknown,2,'life insurance',28,none,own,2,skilled,no,no,Good
0,18,'no credit history',radio/tv,1582,0,>=7,4,Unknown,none,4,car,46,none,own,0,skilled,no,yes,Bad
0,6,'existing paid',Unknown,1346,0,>=7,2,'male single',Unknown,4,'no known property',42,bank,Other,1,skilled,yes,no,Good
0,20,'existing paid',radio/tv,1924,0,1<=X<4,1,'male single',none,4,'life insurance',38,none,own,1,skilled,yes,no,Bad
0,36,'existing paid',radio/tv,5848,0,1<=X<4,4,'male single',none,1,car,24,none,own,1,skilled,no,no,Bad
139.47,24,'critical/other existing credit','used car',7758,7369.04,>=7,2,'female div/dep/mar',Unknown,4,'no known property',29,none,rent,1,skilled,none,yes,Bad
190.98,24,'delayed previously',business,6967,438.53,4<=X<7,4,'male single',none,4,car,36,none,rent,1,'high qualif/self emp/mgmt',no,yes,Bad
-5781.67,12,'existing paid',furniture/equipment,1282,59.7,1<=X<4,2,'female div/dep/mar',none,4,Other,20,none,rent,1,skilled,none,no,Good
-2884.07,9,'critical/other existing credit',repairs,3234,100.46,>=7,3,'male single',guarantor,4,'real estate',48,none,own,2,skilled,none,yes,Bad
-7930.96,12,'all paid',retraining,339,22.56,Unknown,4,'male mar/wid',none,1,car,45,bank,own,1,'unskilled resident',none,no,Good
144.52,20,'existing paid','new car',3512,345.1,4<=X<7,2,Unknown,none,3,car,38,bank,own,2,skilled,yes,no,Good
0,6,'critical/other existing credit',radio/tv,1898,0,1<=X<4,1,'male single',none,2,'real estate',34,none,own,2,'unskilled resident',none,no,Good
0,24,'no credit history',radio/tv,2872,0,>=7,0,Unknown,Unknown,0,'real estate',31,none,own,1,skilled,no,no,Good
0,18,'critical/other existing credit','new car',1055,0,<1,4,'female div/dep/mar',none,1,'life insurance',30,none,own,2,skilled,no,no,Good
0,20,'existing paid','domestic appliance',1262,0,4<=X<7,4,'male single',none,3,'life insurance',31,none,own,2,skilled,yes,no,Good
31.09,10,'existing paid','new car',7308,52.29,unemployed,2,'male single',none,4,'no known property',70,bank,'for free',1,'high qualif/self emp/mgmt',yes,no,Bad
0,36,'existing paid','new car',909,0,>=7,4,Unknown,none,4,'life insurance',36,none,own,1,skilled,no,no,Good
0,6,'existing paid',furniture/equipment,2978,0,1<=X<4,1,'male single',none,2,car,32,none,own,1,skilled,yes,no,Bad
-3326.98,18,'existing paid',furniture/equipment,1131,33.43,unemployed,4,'female div/dep/mar',none,0,car,33,none,own,1,skilled,none,no,Good
47.93,11,'existing paid',furniture/equipment,1577,7895.35,<1,4,'female div/dep/mar',none,1,'real estate',20,none,own,1,skilled,none,Unknown,Bad
0,24,'existing paid',furniture/equipment,3972,0,4<=X<7,2,Unknown,none,4,'life insurance',25,none,rent,0,skilled,yes,no,Good
58.87,24,'critical/other existing credit',business,1935,60,>=7,4,'male div/sep',none,4,'real estate',31,none,Other,2,skilled,yes,yes,Good
-5652,15,'no credits/all paid','new car',950,62.41,>=7,4,'male single',none,0,car,33,none,rent,2,skilled,none,yes,Bad
0,12,'existing paid',furniture/equipment,763,0,1<=X<4,4,'female div/dep/mar',none,1,'real estate',31,Other,own,1,skilled,yes,Unknown,Bad
64,24,'delayed previously',furniture/equipment,2064,54.99,unemployed,3,'female div/dep/mar',none,0,'life insurance',34,none,own,1,'high qualif/self emp/mgmt',yes,yes,Good
84.67,8,'existing paid',radio/tv,1414,58.58,1<=X<4,4,'male single',guarantor,2,'real estate',33,none,own,1,skilled,no,yes,Good
-4199.42,21,'delayed previously',education,3414,56.73,<1,2,'male single',none,0,'life insurance',26,none,own,2,skilled,none,Unknown,Good
0,30,'all paid','used car',3234,0,Unknown,4,'female div/dep/mar',none,1,'real estate',53,bank,own,1,Other,yes,yes,Bad
-7153.11,12,'existing paid',furniture/equipment,2577,26.63,1<=X<4,2,Unknown,none,1,car,31,none,own,1,skilled,none,yes,Good
-3587.09,6,'critical/other existing credit',radio/tv,338,840.74,>=7,4,'male single',none,4,Other,52,none,own,2,skilled,no,yes,Bad
0,12,'existing paid',radio/tv,1963,0,4<=X<7,4,'male single',Unknown,2,Other,31,none,Other,2,'high qualif/self emp/mgmt',yes,yes,Bad
0,21,'critical/other existing credit',Unknown,571,0,>=7,0,'male single',none,4,'real estate',65,none,own,0,skilled,none,yes,Good
0,36,'delayed previously',Unknown,9572,0,<1,1,'male div/sep',none,1,car,28,none,own,2,skilled,none,no,Good
55.91,36,'delayed previously',Unknown,4455,21.64,1<=X<4,0,'male div/sep',Unknown,2,'real estate',30,stores,own,2,'high qualif/self emp/mgmt',yes,yes,Good
-4718.69,21,'all paid',Unknown,1647,0,1<=X<4,4,'male single',none,2,'life insurance',40,none,Other,2,'unskilled resident',none,no,Bad
0,24,'critical/other existing credit',furniture/equipment,3777,0,1<=X<4,4,'male single',none,4,'real estate',50,none,own,1,skilled,yes,yes,Bad
